,Unnamed: 0,issuekey,title,description,storypoint,project
6163,6717,DM-3553,access predefined catalogs via data access api,as a part of endtoend exercise access predefined catalogs and their definitions from the new data access api we have been doing it via jdbc calls to qserv and queries to httplsstwebncsaillinoiseduschemaindexphpsvers12_sdss even though we can not access qserv via data access api at the moment it should be transparent to us in the future as for data definitions for now we can only access column names and types in future more information should be available,10,datamanagement
6605,7211,DM-4213,rerun tests of dm1135 with a larger number of galaxies,as a result of the new error estimation it became apparent that a larger number of sample galaxies were required in dm1135 this is an expansion of that test to a larger number of galaxies since the original great3 tests had about 2 million galaxies we should be able to do these test reasonably well with the 6 million galaxy pool created in dm1135 however the measurements need to be rerun in some cases and the error analysis done again,6,datamanagement
7249,7943,DM-5208,evaluate mariadb gssapi authentication plugin,as a followon to dm4315 deploy the new maria db gssapi authentication plugin in the iam testbed for kerberos ticketbased authentication to provide single signon access,2,datamanagement
8478,9401,DURACLOUD-169,noninteractive content transfer tool,as a complement to the sync tool id love to see a noninteractive oneoff content transfer tool that could be easily integrated into existing workflows eg java jar duracloudtransferjar file i h wgbhduracloudorg p 443 s aapppreservation u admin w changeme transfers file i into the aapppreservation space,1,duracloud
9008,9963,DURACLOUD-1006,investigate automate deployment to beanstalk,as a first step it would be very helpful if commits to development version were automatically deployed to a test beanstalk environment additionally it would be good if integration tests were run as part of that process nb since dependencies such as duraclouddb have snapshot versions while each duracloud instance is in development it would be good if duraclouddb commits also trigger a rebuild of duracloud and managementconsole,4,duracloud
9133,10130,JSW-5072,as a planner i want to be able to show the sum of all issues remaining estimate in an upcoming sprint,as a rapidboarduser i want to be able to show the sum of all issues remainingestimate so i can see which workload i have cos not show if equal only when tracking is enabled for a board,5,jirasoftware
9379,10412,MESOS-1615,create design document for optimistic offers,as a first step toward optimistic offers take the description from the epic and build an implementation design doc that can be shared for comments note the links to the working group notes and design doc are located in the jira epicmesos1607,8,mesos
9527,10569,MESOS-2257,version the operatoradmin api,as a consumer of the mesos http api it is necessary for us to determine the current version of mesos so that we can parse the json documents returned correctly currently were doing this by fetching statejson parsing it and pulling out the version field a more idiomatic way to do this would be to filter on the contenttype in the header itself to give a more concrete example currently the json documents returned by the http api return the following headers code http11 200 ok date fri 23 jan 2015 213137 gmt contentlength 9352 contenttype applicationjson code something like the following would be easy to switch upon code http11 200 ok date fri 23 jan 2015 213137 gmt contentlength 9352 contenttype applicationvndmesosmasterstatev0201json charsetutf8 code the vnd prefix is typically used for vendor specific file types charsetutf8 is required for json documents and is currently being omitted this contenttype would change for each document type for example code applicationvndmesosmasterstatev0201json charsetutf8 applicationvndmesosmasterstatsv0201json charsetutf8 applicationvndmesosslavestatev0201json charsetutf8 applicationvndmesosslavestatsv0201json charsetutf8 code alternatively the version could be appended as an extra field code applicationvndmesosmasterstatejson charsetutf8 versionv0201 applicationvndmesosmasterstatsjson charsetutf8 versionv0201 applicationvndmesosslavestatejson charsetutf8 versionv0201 applicationvndmesosslavestatsjson charsetutf8 versionv0201 code thanks,13,mesos
9599,10647,MESOS-2538,remove unnecessary default flags from portmappingmesostest,as all the explicitly set flags are defaults we can remove them and simplify the code mesos2375 removed other occurrences of these default flags,1,mesos
9709,10768,MESOS-2807,as a developer i need an easy way to convert masterinfo protobuf tofrom json,as a preliminary to mesos2340 this requires the implementation of a simple serialization mechanism to json fromto masterinfo protobuf,3,mesos
9719,10778,MESOS-2830,add an endpoint to slaves to allow launching system administration tasks,as a system administrator often times i need to run a organizationmandated task on every machine in the cluster ideally i could do this within the framework of mesos resources if it is a cleanup or auditing task but sometimes i just have to run something and run it now regardless if a machine has unaccounted resources currently to do this i have to completely bypass mesos and ssh to the box ideally i could tell a mesos slave to run a container with the limited special permissions needed to get the task done,8,mesos
10156,11246,MESOS-3900,enable mesosreviewbot project on jenkins to use docker,as a first step to adding capability for building multiple configurations on reviewbot we need to change the build scripts to use docker,3,mesos
10224,11320,MESOS-4104,design document for interactive terminal for mesos containerizer,as a first step to address the use cases propose a design document covering the requirement design and implementation details,4,mesos
10402,11519,MESOS-4575,fix appc image caching to share with image fetcher,as appc image fetcher is being developed image cache needs to be shared between store and the image fetcher,3,mesos
11365,12510,MDL-42223,deprecate cfgcachejs in favour of reusing cfgdebug,as a result of mdl41985 this has been suggested to reduce the number of options relating to js we currently have cfgcachejs cfgjsrev cfgdebug the proposal is to remove cfgcachejs and when cfgdebug debug_developer set cfgjsrev 1,13,moodle
11525,12670,MDL-43525,allow addons to include yui gallery modules,as a followon from mdl36334 it would be useful if addons could specify their own gallery modules to include,20,moodle
11630,12775,MDL-44366,filter_glossary has the potential to be slow on large sites,as a followon to mdl43524 which removed global text caching we need to examine the glossary filter and probably add muc caching there to improve performance the glossary filter is what puts links in texts to glossary entries there is quite a lot of processing going on in the background even before the simple text replacement and this needs to be redone every time the cache is invalidated petr has raised that the fully correct way would be to use new events or the asyetunwritten hooks to invalidate the caches but i think that might be too much to do before 27 so i want to see a quick solution here even if it may mean relying on lessperfect cache invalidation this issue requires performance comparison tests before and after the fix,40,moodle
11631,12776,MDL-44368,filter_activitynames can be improved after dropping of global text cache,as a followon to mdl43524 which removed global text caching we need to examine the activity names filter and probably add muc caching there to improve performance the activitynames filter is what puts links in texts to other activities in the same course petr has raised that the fully correct way would be to use new events or the asyetunwritten hooks to invalidate the caches but i think that might be too much to do before 27 so i want to see a quick solution here even if it may mean relying on lessperfect cache invalidation tests showing performance beforeafter are required,20,moodle
12062,13207,MULE-6657,nio and websocket completion,as a mule esb user i would like to be able to turn on the use of the nio stack through a deployproperties toggle as a mule esb user i would like to be able to use the new websocket components within my flows,8,mule
12063,13208,MULE-6659,testing mule 34 pairing with ga registry,as a mule user i would like to configure my mule instance to be paired with my registry account through my registry key so that i may be able to manage my esb instances endpoints with the registry user should be configure the registry key for their registry account for an esb instance from there on the http endpoints of all apps deployed to the esb instance should be manageable with the paired registry instance detailed specs described here httpcorpwikimulesourcecomdisplayprodmgmtregistryinteractionandlicensemanagementsupport,3,mule
12064,13209,MULE-6661,testing mule 34 dynamic lookup with ga registry,as a mule user i would like to use the dynamic lookup component within my flows detailed specs defined here httpcorpwikimulesourcecomdisplaywpdynamicrouter28supportsregistrydynamicendpointresolution29,1,mule
12077,13222,MULE-6745,update licensetxt and 3rd party list,as a developer i want to be able to read accurate content of the licensetxt file bundled with mule esb standalone,3,mule
12101,13246,MULE-6896,ability to handle record level errors in foreach,as an user i want to catch exceptions at a record level in a foreachbatch element so i can continue processing and put my individual records on a dlq,8,mule
12124,13269,MULE-7005,servernotification completing work after listener failure,as a user i register a notification listener in the servernotificationmanager if that listener throws an exception then the servernotificationmanager finishes causing that we dont have any notification anymore this is the error that mule is showing error 20130905 130544935 notificationserverdownmule01 orgmuleworkdefaultworklistener work caused exception on workcompleted work being executed was orgmulecontextnotificationservernotificationmanager59fe1da2,8,mule
12185,13330,MULE-7213,mvel version upgrade,as a user of mule 350 i would like mule to depend on the latest version of mvel to stay uptodate with the latest mvel bug fixesenhancements the latest version seems to be 218,5,mule
12388,13533,MULE-7675,deploymentservice api modification for domains,as a mule user i would like to deploy a domain with mule api undeploy a domain and all its apps redeploy a domain and update all the apps,2,mule
12422,13567,MULE-7759,amqp transport define specs document,as a product owner or community member i want to be able to review the specs so that i can and contribute with my feedback,8,mule
12423,13568,MULE-7760,amqp transport define connector schema,as a user i want i want to be able to rely on a defined schema to write my amqp integrations so that i have exact knowledge of how im syntactically supposed to use the transport and to have help from my ide to autocomplete and detect errors,8,mule
12424,13569,MULE-7761,amqp transport create connector skeleton,as a developer i want i want to have a base project skeleton so that there is a basement to build on with agreed placeholders for endpoints connectors transactions that should be stable,8,mule
12425,13570,MULE-7762,amqp transport create configuration element,as a user i want i want to be able to configure the transport in a single point so that i can configure the common transport attributes in a single reusable place,8,mule
12426,13571,MULE-7763,amqp transport create inbound receiver,as a user i want i want to be able consume continuously amqp messages so that a muleevent is created and delivered to a flow when a messages arrives to a queue and is comsumed,8,mule
12427,13572,MULE-7764,amqp transport create inbound requestor,as a user i want i want to be able consume instantly amqp messages so that i can consume messages at any point of the flow,5,mule
12428,13573,MULE-7766,amqp transport integration testing,as a user i want i want the transport to be tested against a real broker and a real application so that i can be sure the transport works on real world usage,8,mule
12685,13830,MULE-8331,application plugins support for external dependencies,as a user i will like to use a connector such as siebel packaged as a plugin deployed in the plugins folder and be able to use external dependencies that cannot be shipped inside the connector,8,mule
12916,14061,MULE-9221,add buildpaths method to notification utils that returns map,as a result of a refactor youve change the return type of notificationutilsbuildpaths this from munit point of view brakes backward and render future munit versions incompatible with older versions of mule if possible we would like you guys to change it back to return the same type,1,mule
13012,14157,STUDIO-2706,object builder should work with static metadata,as a studio user i would like to be able to use the object builder with static metadata,13,mulestudio
13039,14184,STUDIO-2824,select the sort direction connector queries,as a studio developer i want to select a sort field and sort direction for my query so that i can find data in my application that im looking for acceptance criteria i can sort by createddate ascending or descending with salesforce sorting is not enabled if connector does not support it,5,mulestudio
13040,14185,STUDIO-2825,display and customize generated connector queries,as a studio developer i want to see the generated query for my connector and customize it so that i can understand what is going on and can do advanced queries such as joins acceptance criteria salesforce soql expressions are displayed i can edit a soql expression i can reset a customized soql expression and go back to the generated query and receive a warning if im about to do so i cannot edit any of the items used to generate the query if i have customized the query the query editor is not displayed if the connector does not support it,8,mulestudio
13041,14186,STUDIO-2827,mule 34 pairing with registry,as a mule user i would like to configure my mule instance to be paired with my registry account through my registry key so that i may be able to manage my esb instances endpoints with the registry user should be configure the registry key for their registry account within a studio instance from there on the http endpoints of all studio projects when running within the embedded studio runtime should be managable with the paired registry instance when the application is deployed on a standalone esb instance the registry with which the project will be paired will be defined as per the esb pairing configuration and not as per projects studio configuration detailed specs described here httpcorpwikimulesourcecomdisplayprodmgmtregistryinteractionandlicensemanagementsupport,8,mulestudio
13042,14187,STUDIO-2828,testing mule 34 pairing with ga registry,as a mule user i would like to configure my mule instance to be paired with my registry account through my registry key so that i may be able to manage my esb instances endpoints with the registry user should be configure the registry key for their registry account within a studio instance from there on the http endpoints of all studio projects when running within the embedded studio runtime should be managable with the paired registry instance when the application is deployed on a standalong esb instance the registry with which the project will be paired will be defined as per the esb pairing configuration and not as per projects studio configuration detailed specs described here httpcorpwikimulesourcecomdisplayprodmgmtregistryinteractionandlicensemanagementsupport,8,mulestudio
13043,14188,STUDIO-2829,mule 34 dynamic lookup with registry,as a studio user i would like to use the dynamic lookup component within my flows detailed specs defined here httpcorpwikimulesourcecomdisplaywpdynamicrouter28supportsregistrydynamicendpointresolution29,5,mulestudio
13048,14193,STUDIO-2863,maven import existing maven project into studio,as a maven developer i would like to import an existing maven mule project into studio and start using studio to develop,8,mulestudio
13049,14194,STUDIO-2865,retrieved metadata from operations must be available through different studio session,as a user i want to have the operation metadata i retrieve available in different studio sessions,8,mulestudio
13055,14200,STUDIO-2900,support for multiple versions of cloud connectors within studio,as a studio user i would like to be able to open multiple projects in studio which each use different versions of cloud connectors the cloud connectors version could go back to a version as old as 2 years prior to the time at which the version of studio being used,13,mulestudio
13056,14201,STUDIO-2904,select metadata object in data mapper type configuration,as a developer i want to be able to tell data mapper to use the structure from any object my connector is aware of for the mapping for example lets say i want to query salesforce and that query returns a list of account objects because studio is not yet aware of the query structure and what object it returns i need a way to specify that the input to a mapping is a list of accounts right now i can only select connector metadata from an operation that is already metadata aware so i should be able to browse all the objects my connector is aware of and then select that i want my data mapper inputoutput to be either one of those objects or a list of one of those objects,8,mulestudio
13070,14215,STUDIO-2947,ability to handle errors with individual records in data mapper,as a developer i want to be able to handle individual records that have errors in my data mapping currently i can only stop processing everything or i can silently ignore the errors if this option is enabled the exception strategy would be invoked for invidual records spec details tbd form pablo abad,8,mulestudio
13101,14246,STUDIO-3021,apikit interfaceservice file support,as an apikit developer i should be able to create a mule project in studio add xml files to my flow folder and add apikit interfaces studio should not display errors when i do this and my project should build and run with the apikit interfaces available so long as i have ensured that the jar dependencies are satisfied either through maven or eclipse,8,mulestudio
13140,14285,STUDIO-3152,clear application data,as a user i want to be able to reset the object store or remove any other persistent data for my project acceptance criteria user can right click on project and click clear application data on a project this will delete the default user object store on disk old description looks like the default implementation of the object store in mule has change to a persistent implementation although this is not a major problem it has its problems mainly as most of us are not aware of this fact the problem is that we shut down the app and studio and when we restarted the info is still there itll be a cool feature to add a button to studio that clean this persistent storage in the file system as a work around mariano merlo found that the storage is being held in workspacemulemuleprojectobjectstore and if you delete it you are good to go but most people are not as smart as he is,5,mulestudio
13164,14309,STUDIO-3260,studio support for new oauth configuration,as a studio user i will like to have support for the new oauth configuration studio editors should support generating the improved user experience xml,2,mulestudio
13173,14318,STUDIO-3275,maven there is no feedback or indication if studiostudio failed to run,as a developer using maven i want to be notified if my projects classpath is not up to date with my pom because studiostudio not being able to run,3,mulestudio
13198,14343,STUDIO-3344,autocompletion and syntax highlighting of yaml api speficiation in studio ui,as an studio apikit developer i would like to have the apikit yaml editor perform autocompletion and syntax highlighting of my apikt interface definition,13,mulestudio
13204,14349,STUDIO-3364,allow user to set studio project system properties,as a user i want to set the system properties needed to start my application whether its via run as debug as or datasense httpcorpwikimulesourcecomdisplaywpstudioandenvironments,5,mulestudio
13205,14350,STUDIO-3365,deploy to cloudhub sandboxes,as a cloudhub developer i want to be able to deploy my application to cloudhub sandboxes mockups httpcorpwikimulesourcecomdisplaywpstudioandenvironments sandbox api corpwikimulesourcecomdisplayionsandboxesapi,5,mulestudio
13228,14373,STUDIO-3503,query builder ui support for non field selection,as a studio user i should be able to create a dsql query graphically for cases where field selection is not supported for a type if field level selection is not supported then the studio interface should not acceptance it and dsql should only allow or whatever definition is made in studio3502 as valid field selection,5,mulestudio
13252,14397,STUDIO-3624,service autodiscovery studio behaviour,as a studio developer i would like to be able to use the service autodiscovery feature of the anypoint service registry as follows be able graphically configure the service configuration information as a global element by configuring it through the global element tab be able to configure through the xml tab any asr supported inbound endpoint with a element any mule flow configured as such should work withouth errors or unkown elements showing as i switch back and forth between the studio xml and graphical views,8,mulestudio
13264,14409,STUDIO-3669,prepopulate the options of the apikit router when only a single option exists,as a studio designer when configuring the apikit router through the studio wizard i would like to have all of the fields prepopulated with their value when only a single possible value exists,3,mulestudio
13309,14454,STUDIO-3943,integrate batch with debugger,as a studio user i want to debug inside batch components,8,mulestudio
13311,14456,STUDIO-3945,add support for batch aggregator,as a studio user i want to use in the ui batch aggregator element,2,mulestudio
13312,14457,STUDIO-3946,add support for batch message sources,as a studio user i want to be able to configure batch message sources currently only oneway inbound endpoints will be supported,5,mulestudio
13316,14461,STUDIO-3950,threading profile for batch,as a user i want to configure the threading profile for batch code todo paste xml snippet code,1,mulestudio
13318,14463,STUDIO-3956,changing runtime usability improvements,as a user i will like that changing the runtime offer better options to automatically upgrade all connectors,3,mulestudio
13338,14483,STUDIO-4207,propagation rules for properties,as a studio user i want message properties other than payload to be propagated through the flow,5,mulestudio
13340,14485,STUDIO-4209,datasense support for enrichers,as a studio user i will like to have an enricher changing the datasense model we will need to define the rules for this and what expressions at target level can be parsed to determine the destination of the metadata type,5,mulestudio
13344,14489,STUDIO-4217,create web services consumer editor,as a user i will like to configure web services component through studio ui be able to discover a wsdl on my filesystem be able to type in a url for a wsdl be able to choose the service port operation rather than type them in have the service address automatically populated based on port that is chosen clearly see errors caused by invalid wsdl or wsdl not found,8,mulestudio
13384,14529,STUDIO-4377,support datamapping with nonull payload,as a user i want to be able to do datamapping even if i have a null payload so that i can map my input arguments to my output for creating web service queries eg someone is polling a web service and using the watermark to create the query,8,mulestudio
13408,14553,STUDIO-4600,propertiesvariables dont stay expanded when navigating between message processors,as a user i want my properties and flow variables to stay expanded or collapsed when moving from block to block in studio,8,mulestudio
13422,14567,STUDIO-4743,drag item from metadat explorer and create expression,as a user i want to be able to drag an item from the datasense explorer into a text box and have an expression generated for me acceptance criteria must work with payload variables and properties must use syntax must properly escape properties ie foobar baz must support maps and pojos must handle things correctly if you drag in an existing expression vs an empty text box must support xml todo whats the valid way to do this,5,mulestudio
13473,14618,STUDIO-5350,new launcher add applications status feedback,as a studio user i need to know the status of each developed application in the running runtime acceptance criteria when application is running it should be green when application is not running it should be grey when application fails to deploy it should be red when it is deploying it should be yellow,8,mulestudio
13474,14619,STUDIO-5351,new launcher implement start stop and redeploy application actions,as a studio user i need be able to start stop and redeploy a developed application in the running runtime acceptance criteria stopstartredeploy acctions should give feedback while actions occurring,5,mulestudio
13478,14623,STUDIO-5383,new launcher display server information in header,as a user i want to see the name of the server that im launching so i have context into what version it is acceptance criteria server name and version should be visible in header,2,mulestudio
13480,14625,STUDIO-5385,http client request builder,as a user i want to configure the http message processors to use the request builder acceptance criteria can configure individual headers query params and form params can configure the and,8,mulestudio
13481,14626,STUDIO-5386,http client getpostputdeleteexecute message processors,as a user i want to configure an outbound http connector to do get post put delete and execute operations acceptance criteria two way editing works for the following items in the spec get post put delete and execute operations resource host and port follow redirects success and error status codes if i select execute i can input my own http method,3,mulestudio
13482,14627,STUDIO-5387,http client global configuration,as a user i want to configure my global configuration including url port and base path raml file acceptance criteria two way editing works for the abovce areas as defined in the spec,3,mulestudio
13483,14628,STUDIO-5389,http client raml based configuration,as a user i want to use my raml to assist in configuring the http connector acceptance criteria list of resources in the raml should be visible in the resource field list of methods which are applicable to that resource should be visible should be able to write an expression to override the resource or method query form and header params should be autopopulated from the raml,3,mulestudio
13484,14629,STUDIO-5390,http client datasense propagation for json schema,as a user i want my json schema to propagate over datasense when i select an oepration,5,mulestudio
13485,14630,STUDIO-5391,http client datasense propagation for xml schema,as a user i want my raml metadata to propagate xml schema information over datasense,3,mulestudio
13489,14634,STUDIO-5435,http client add support for oauth configuration,as a mule user we need a way to configure and use oauth with my http configuration,5,mulestudio
13492,14637,STUDIO-5438,add metadata propagation for json by example,as a user using json by example in datamapper i will like that this metadata gets propagated in the flow,8,mulestudio
13505,14650,STUDIO-5593,new launcher associate a mule project to its parent mule domain,as an integration developer you should be able to add a mule project to a mule domain project so that when running the domain project all the mule projects associated with it are run acceptance criteria from the muleprojectxml you should be able to specify that a project belongs to a domain the domain project has no information about which projects belongs to it there should be validations if the domain project is missing or not present there is no runtime validation between the domain runtime and the project runtime for instance when running the domain project the projects within the domain are run the runtime version from the domain project is the one that has precedence note today this only will work in ee,8,mulestudio
13577,14722,STUDIO-6090,df declare inputs when using auto complete,as a user i want studio to add in input declarations for my payload flowvars etc when i use autocompletion,5,mulestudio
13580,14725,STUDIO-6096,df output view for java objects,as a user i want to see sample output for my java objects when doing transformations text representation only,3,mulestudio
13619,14764,STUDIO-6811,custom metadata definition should support wrap existing types in a collection,as an user i would need to define a list of an already defined type as metadata in the message,8,mulestudio
13620,14765,STUDIO-6845,as a user i would like to have an option to customise the palette,as a user i would like to have an option to customise the palette so that i can choose what elements appear in it this option should appear both as a preference page and as an accesible button in the palette view which will open the aforementioned preference page the preference page will allow to define new presets remove new presets edit already created presets select categories and elements that will be stored in the preset when the user clicks apply or ok the palette must be updated with the elements of the selected preset some considerations to take into account about presets presets will be stored as preferences as a workspace level each preset is associated to a runtime version then a preset can be used in projects with the same runtime version the preset preference page will not show presets that were created for a different runtime version than the current inuse project for example if a preset was created using a mule project with 35 runtime it will not be shown when a user is working on a project that is using 37 the preference page must present at least a default preset and a weave preset the first one will show all the elements that exist in the current runtime thats the runtime that is being used by the current mule project the second one will show all the elements but not the transformers instead the new weave transformer must be shown both presets cant be edited as a nicetohave presets should be importedexported in order to share them with others users,8,mulestudio
13621,14766,STUDIO-6846,as a user i would like to have a new palette view,as a user i would like to have a new separated palette view so that i can work with all the elements that are important for me in an userfriendly way,21,mulestudio
13933,15173,XD-434,consider removing the topicqueues when deleting the stream,as a user id like to have the option to delete the queuestopics so that we can include an _optional_ attribute as part of the stream destroy command to also cleanup the associated queuestopics notes springamqp rabbitadmin now has a getqueueproperties method which returns the number of consumers so it may be possible to use it for this purpose consider the possibility of _producers_ andor _queues_ still containing data consider the scenario even after the topicsqueues are cleanedup what to do with fanout exchange some further thoughts consider using the upcoming spring amqp rest api rabbitmanagementtemplate if the timing is not right we could temporarily invoke the rabbit rest api directly should be optional perhaps via stream destroy foo clean should this be done by the admin or via a new plugin handling module undeployments in the rabbit case undeploying a consumer would check for us being the last consumer and remove the queuebindingexchange since we undeploy leftright everything can be cleaned up on the consumer side third option would be new methods on the bus cleanconsumer etc invoked by the streamplugin down side of doing it on the admin is that he wouldnt necessarily know which rabbit cluster a stream was deployed to so it probably has to happen on the container even so wed need the admin url for the cluster,5,springxd
14309,15635,XD-923,error channel for streams modules that fail to process a message,as a user id like to be notified when a exception is thrown in a module so that i can tap into an error channel to receive the failures for each streammodule,8,springxd
14474,15837,XD-1132,jms module add support for topics,as a spring xd user i need to listen on a jms topic and ingest the messages so i can process the messages currently the module only allows for queues,2,springxd
